,Timestamp,Site ID,Is this site spam?,Is this site in English?,"Is this site a ""typical"" health journey?",Anything interesting about this site that you want us to take note of?,Unnamed: 6,Unnamed: 7
159,2019/10/11 4:37:01 PM EST,579711,No,Yes,Yes (i.e. a typical CaringBridge site),Their journals seem to be copied from facebook posts.,,
160,2019/10/11 4:37:02 PM EST,140252,No,Yes,Yes (i.e. a typical CaringBridge site),,,
161,2019/10/11 4:37:07 PM EST,585489,No,Yes,Yes (i.e. a typical CaringBridge site),,,
162,2019/10/11 4:37:59 PM EST,571013,No,Yes,Yes (i.e. a typical CaringBridge site),All 3 updates are identical,,
163,2019/10/11 4:38:16 PM EST,646919,No,Yes,Yes (i.e. a typical CaringBridge site),,,
164,2019/10/11 4:38:46 PM EST,32147,No,Yes,Yes (i.e. a typical CaringBridge site),,,
165,2019/10/11 4:39:17 PM EST,732015,No,Yes,Yes (i.e. a typical CaringBridge site),,,
166,2019/10/11 4:43:03 PM EST,700461,No,Yes,Yes (i.e. a typical CaringBridge site),All 3 updates were the same,,
167,2019/10/11 4:44:14 PM EST,83093,No,Yes,Yes (i.e. a typical CaringBridge site),,,
168,2019/10/11 4:44:51 PM EST,124888,No,Yes,Yes (i.e. a typical CaringBridge site),,,
169,2019/10/11 4:46:53 PM EST,695915,No,Yes,Yes (i.e. a typical CaringBridge site),All three updates are the same and seem like they may have been (automatically?) posted via facebook,,
172,2019/10/11 4:49:39 PM EST,144735,No,Yes,Yes (i.e. a typical CaringBridge site),,,
0,2019/10/12 1:18:17 PM EST,103602,No,Yes,Yes (i.e. a typical CaringBridge site),
1,2019/10/12 1:18:42 PM EST,9661,No,Yes,Yes (i.e. a typical CaringBridge site),
2,2019/10/12 1:19:29 PM EST,195189,No,Yes,Yes (i.e. a typical CaringBridge site),
3,2019/10/12 1:22:35 PM EST,39700,No,Yes,Yes (i.e. a typical CaringBridge site),
4,2019/10/12 1:23:15 PM EST,6405,No,Yes,Yes (i.e. a typical CaringBridge site),
6,2019/10/12 1:25:24 PM EST,265764,No,Yes,Yes (i.e. a typical CaringBridge site),
